category,title,price,original_price,sale_price,discount,availability,variant,product_id,product_url,image_url,brand
kids,Printed Tunic Top,"Rs. 3,390","Rs. 3,390","Rs. 3,390",Pay 650 now (BaadMay),Available,gtd0100,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtd0100,https://beoneshopone.com/cdn/shop/files/GTD0100-WBL1.jpg?v=1738839786&width=1080,One
kids,Wide Leg Cargo Jeans,"Rs. 3,690","Rs. 3,690","Rs. 3,690",Pay 707 now (BaadMay),Coming Soon,gbj0057,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gbj0057,https://beoneshopone.com/cdn/shop/files/GBJ0057-IND2.jpg?v=1738839718&width=1080,One
kids,Racing Tee,"Rs. 2,090","Rs. 2,090","Rs. 2,090",Pay 401 now (BaadMay),Available,btt0127,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/btt0127,https://beoneshopone.com/cdn/shop/files/BTT0127-KHK3.jpg?v=1738839558&width=1080,One
kids,Beach Tee,"Rs. 2,190","Rs. 2,190","Rs. 2,190",Pay 420 now (BaadMay),Available,btt0126,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/btt0126,https://beoneshopone.com/cdn/shop/files/BTT0126-WHT.jpg?v=1738929427&width=1080,One
kids,Tropical Tee,"Rs. 2,490","Rs. 2,490","Rs. 2,490",Pay 477 now (BaadMay),Available,btt0123,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/btt0123,https://beoneshopone.com/cdn/shop/files/BTT0123-DNY3.jpg?v=1738839484&width=1080,One
kids,Marvel Tee,"Rs. 1,990","Rs. 1,990","Rs. 1,990",Pay 381 now (BaadMay),Available,btt0121,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/btt0121,https://beoneshopone.com/cdn/shop/files/BTT0121-GRN5.jpg?v=1738839472&width=1080,One
kids,Henley Tee,"Rs. 1,990","Rs. 1,990","Rs. 1,990",Pay 381 now (BaadMay),Available,btt0120,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/btt0120,https://beoneshopone.com/cdn/shop/files/BTT0120-MYR2.jpg?v=1738839456&width=1080,One
kids,Printed Polo,"Rs. 2,990","Rs. 2,990","Rs. 2,990",Pay 573 now (BaadMay),Available,btp0056,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/btp0056,https://beoneshopone.com/cdn/shop/files/BTP0056-GRN1.jpg?v=1738839391&width=1080,One
kids,Printed Polo,"Rs. 2,790","Rs. 2,790","Rs. 2,790",Pay 535 now (BaadMay),Available,btp0055,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/btp0055,https://beoneshopone.com/cdn/shop/files/BTP0055-WHT2.jpg?v=1738839375&width=1080,One
kids,Football Track pants,"Rs. 3,290","Rs. 3,290","Rs. 3,290",Pay 631 now (BaadMay),Available,bbt0057,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bbt0057,https://beoneshopone.com/cdn/shop/files/BBT00574copy.jpg?v=1738855051&width=1080,One
kids,Embroidered Denim Shorts,"Rs. 2,690","Rs. 2,690","Rs. 2,690",Pay 516 now (BaadMay),Available,bbs0049,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bbs0049,https://beoneshopone.com/cdn/shop/files/BBS0049-blu3.jpg?v=1738839355&width=1080,One
kids,Hawaiian Shorts,"Rs. 1,890","Rs. 1,890","Rs. 1,890",Pay 362 now (BaadMay),Available,bbs0045,8.76432E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bbs0045,https://beoneshopone.com/cdn/shop/files/BBS00451.jpg?v=1738855012&width=1080,One
